Well,i,j,k,X,Y,Z
VW22,39,27,5,702500,5993500,2301
VW22,39,27,6,702500,5993500,2340
VW23,34,33,1,687500,5981500,2158
VW23,34,33,2,687500,5981500,2185
VW23,34,33,3,687500,5981500,2220
VW23,34,33,4,687500,5981500,2262
VW23,34,33,5,687500,5981500,2305
VW23,34,33,6,687500,5981500,2342
VW24,30,31,1,675500,5985500,2137
VW24,30,31,2,675500,5985500,2165
VW24,30,31,3,675500,5985500,2200
VW24,30,31,4,675500,5985500,2242
VW24,30,31,5,675500,5985500,2284
VW24,30,31,6,675500,5985500,2318
VW25,27,28,1,666500,5991500,2125
VW25,27,28,2,666500,5991500,2150
VW25,27,28,3,666500,5991500,2185
VW25,27,28,4,666500,5991500,2219
VW25,27,28,5,666500,5991500,2236
VW25,27,28,6,666500,5991500,2238
VW26,22,27,1,651500,5993500,2126
VW26,22,27,2,651500,5993500,2153
VW26,22,27,3,651500,5993500,2188
VW26,22,27,4,651500,5993500,2230
VW26,22,27,5,651500,5993500,2263
VW26,22,27,6,651500,5993500,2279
VW27,30,33,1,675500,5981500,2144
VW27,30,33,2,675500,5981500,2171
VW27,30,33,3,675500,5981500,2206
VW27,30,33,4,675500,5981500,2249
VW27,30,33,5,675500,5981500,2291
VW27,30,33,6,675500,5981500,2325
VW28,24,32,1,657500,5983500,2139
VW28,24,32,2,657500,5983500,2167
VW28,24,32,3,657500,5983500,2202
VW28,24,32,4,657500,5983500,2245
VW28,24,32,5,657500,5983500,2287
VW28,24,32,6,657500,5983500,2320
VW29,23,37,1,654500,5973500,2197
VW29,23,37,2,654500,5973500,2226
VW29,23,37,3,654500,5973500,2257
VW29,23,37,4,654500,5973500,2293
VW29,23,37,5,654500,5973500,2333
VW29,23,37,6,654500,5973500,2372
VW3,21,16,1,648500,6015500,2119
VW3,21,16,2,648500,6015500,2143
VW3,21,16,3,648500,6015500,2178
VW3,21,16,4,648500,6015500,2219
VW3,21,16,5,648500,6015500,2248
VW3,21,16,6,648500,6015500,2259
VW30,16,35,1,633500,5977500,2215
VW30,16,35,2,633500,5977500,2245
VW30,16,35,3,633500,5977500,2275
VW30,16,35,4,633500,5977500,2310
VW30,16,35,5,633500,5977500,2350
VW30,16,35,6,633500,5977500,2390
VW31,11,35,1,618500,5977500,2266
VW31,11,35,2,618500,5977500,2297
VW31,11,35,3,618500,5977500,2324
VW31,11,35,4,618500,5977500,2357
VW31,11,35,5,618500,5977500,2397
VW31,11,35,6,618500,5977500,2437
VW32,14,30,1,627500,5987500,2197
VW32,14,30,2,627500,5987500,2226
VW32,14,30,3,627500,5987500,2257
VW32,14,30,4,627500,5987500,2293
VW32,14,30,5,627500,5987500,2333
VW32,14,30,6,627500,5987500,2372
VW33,10,30,1,615500,5987500,2248
VW33,10,30,2,615500,5987500,2278
VW33,10,30,3,615500,5987500,2308
VW33,10,30,4,615500,5987500,2342
VW33,10,30,5,615500,5987500,2382
VW33,10,30,6,615500,5987500,2422
VW34,9,26,1,612500,5995500,2245
VW34,9,26,2,612500,5995500,2275
VW34,9,26,3,612500,5995500,2304
VW34,9,26,4,612500,5995500,2339
VW34,9,26,5,612500,5995500,2379
VW34,9,26,6,612500,5995500,2419
VW35,13,26,1,624500,5995500,2186
VW35,13,26,2,624500,5995500,2215
VW35,13,26,3,624500,5995500,2246
VW35,13,26,4,624500,5995500,2283
VW35,13,26,5,624500,5995500,2323
VW35,13,26,6,624500,5995500,2362
VW36,15,21,1,630500,6005500,2159
VW36,15,21,2,630500,6005500,2187
VW36,15,21,3,630500,6005500,2222
VW36,15,21,4,630500,6005500,2263
VW36,15,21,5,630500,6005500,2306
VW36,15,21,6,630500,6005500,2343
VW37,25,14,1,660500,6019500,2079
VW37,25,14,2,660500,6019500,2088
VW37,25,14,3,660500,6019500,2095
VW37,25,14,4,660500,6019500,#N/A
VW37,25,14,5,660500,6019500,#N/A
VW37,25,14,6,660500,6019500,#N/A
VW38,16,16,1,633500,6015500,2156
VW38,16,16,2,633500,6015500,2183
VW38,16,16,3,633500,6015500,2218
VW38,16,16,4,633500,6015500,2261
VW38,16,16,5,633500,6015500,2304
VW38,16,16,6,633500,6015500,2341
VW39,13,13,1,624500,6021500,2227
VW39,13,13,2,624500,6021500,2258
VW39,13,13,3,624500,6021500,2290
VW39,13,13,4,624500,6021500,2329
VW39,13,13,5,624500,6021500,2369
VW39,13,13,6,624500,6021500,2406
VW4,17,9,1,636500,6029500,2167
VW4,17,9,2,636500,6029500,2196
VW4,17,9,3,636500,6029500,2234
VW4,17,9,4,636500,6029500,2276
VW4,17,9,5,636500,6029500,2316
VW4,17,9,6,636500,6029500,2349
VW40,21,8,1,648500,6031500,2140
VW40,21,8,2,648500,6031500,2167
VW40,21,8,3,648500,6031500,2202
VW40,21,8,4,648500,6031500,2245
VW40,21,8,5,648500,6031500,2287
VW40,21,8,6,648500,6031500,2320
VW5,32,8,1,681500,6031500,2138
VW5,32,8,2,681500,6031500,2166
VW5,32,8,3,681500,6031500,2201
VW5,32,8,4,681500,6031500,2243
VW5,32,8,5,681500,6031500,2285
VW5,32,8,6,681500,6031500,2319
VW6,37,18,1,696500,6011500,2146
VW6,37,18,2,696500,6011500,2174
VW6,37,18,3,696500,6011500,2209
VW6,37,18,4,696500,6011500,2251
VW6,37,18,5,696500,6011500,2294
VW6,37,18,6,696500,6011500,2328
VW7,18,30,1,639500,5987500,2153
VW7,18,30,2,639500,5987500,2181
VW7,18,30,3,639500,5987500,2216
VW7,18,30,4,639500,5987500,2258
VW7,18,30,5,639500,5987500,2300
VW7,18,30,6,639500,5987500,2336
VW8,28,38,1,669500,5971500,2202
VW8,28,38,2,669500,5971500,2231
VW8,28,38,3,669500,5971500,2262
VW8,28,38,4,669500,5971500,2297
VW8,28,38,5,669500,5971500,2337
VW8,28,38,6,669500,5971500,2377
VW9,13,20,1,624500,6007500,2176
VW9,13,20,2,624500,6007500,2205
VW9,13,20,3,624500,6007500,2237
VW9,13,20,4,624500,6007500,2275
VW9,13,20,5,624500,6007500,2316
VW9,13,20,6,624500,6007500,2354
WI1,9,33,1,612500,5981500,2276
WI1,9,33,2,612500,5981500,2309
WI1,9,33,3,612500,5981500,2334
WI1,9,33,4,612500,5981500,2367
WI1,9,33,5,612500,5981500,2407
WI1,9,33,6,612500,5981500,2447
WI2,37,31,1,696500,5985500,2287
WI2,37,31,2,696500,5985500,2328
WI2,37,31,3,696500,5985500,2357
WI2,37,31,4,696500,5985500,2392
WI2,37,31,5,696500,5985500,2432
WI2,37,31,6,696500,5985500,2473
WI3,21,44,1,648500,5959500,2277
WI3,21,44,2,648500,5959500,2309
WI3,21,44,3,648500,5959500,2334
WI3,21,44,4,648500,5959500,2367
WI3,21,44,5,648500,5959500,2407
WI3,21,44,6,648500,5959500,2447
WI4,45,18,1,720500,6011500,2245
WI4,45,18,2,720500,6011500,2277
WI4,45,18,3,720500,6011500,2292
WI4,45,18,4,720500,6011500,2320
WI4,45,18,5,720500,6011500,2360
WI4,45,18,6,720500,6011500,2400
WI5,39,5,1,702500,6037500,2283
WI5,39,5,2,702500,6037500,2320
WI5,39,5,3,702500,6037500,2346
WI5,39,5,4,702500,6037500,2379
WI5,39,5,5,702500,6037500,2419
WI5,39,5,6,702500,6037500,2459
WI6,27,1,1,666500,6045500,2266
WI6,27,1,2,666500,6045500,2313
WI6,27,1,3,666500,6045500,2331
WI6,27,1,4,666500,6045500,2360
WI6,27,1,5,666500,6045500,2400
WI6,27,1,6,666500,6045500,2442
WI7,13,11,1,624500,6025500,2319
WI7,13,11,2,624500,6025500,2354
WI7,13,11,3,624500,6025500,2384
WI7,13,11,4,624500,6025500,2419
WI7,13,11,5,624500,6025500,2459
WI7,13,11,6,624500,6025500,2499
WI8,6,26,1,603500,5995500,2306
WI8,6,26,2,603500,5995500,2343
WI8,6,26,3,603500,5995500,2369
WI8,6,26,4,603500,5995500,2402
WI8,6,26,5,603500,5995500,2442
WI8,6,26,6,603500,5995500,2482
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
