time,diameter_m,length_km,elevation_m,material,fluid_density_kg_m3,fluid_viscosity_cp,chemical_aggressiveness_index,pressure_upstream_bar,pressure_downstream_bar,temp_upstream_C,temp_downstream_C,flow_inlet_m3_h,flow_outlet_m3_h,leak,leak_position_km
29.00,0.70,64.34,68.00,stainless_s,882.41,9.30,0.57,82.20,83.22,56.62,60.12,3058.28,3009.50,FALSE,
30.00,0.70,47.79,49.00,stainless_s,862.37,11.20,0.89,80.75,67.23,59.32,59.24,3002.51,2977.31,FALSE,
31.00,0.90,78.17,-10.00,stainless_s,878.62,4.80,0.76,78.47,75.00,55.98,58.15,3128.16,2763.43,TRUE,49.18
32.00,1.00,41.69,42.00,stainless_s,842.40,4.60,0.82,87.77,81.41,59.85,58.53,2956.01,2752.62,TRUE,21.19
33.00,0.30,80.44,4.00,stainless_s,828.81,5.30,0.94,82.62,72.94,55.34,56.84,2972.07,2962.05,FALSE,
34.00,1.00,60.41,64.00,carbon_steel,813.20,6.40,0.57,82.06,78.53,58.84,56.07,2953.23,2993.02,FALSE,
35.00,0.90,79.83,-2.00,stainless_s,823.66,4.50,0.13,85.40,79.58,56.89,55.37,3005.02,3055.35,FALSE,
36.00,0.60,45.17,76.00,carbon_steel,807.85,6.30,0.64,79.25,73.60,61.75,60.86,2941.72,2934.92,FALSE,
37.00,0.90,28.37,18.00,stainless_s,842.40,7.90,0.83,85.40,69.13,58.51,59.66,3122.65,2903.76,TRUE,1.09
38.00,0.50,80.69,-9.00,carbon_steel,832.51,7.60,0.65,83.22,70.42,56.89,60.52,3020.19,3069.33,FALSE,
39.00,0.40,40.27,22.00,carbon_steel,788.39,8.40,0.86,72.97,79.58,61.40,59.93,2935.67,3085.17,TRUE,8.84
40.00,1.00,95.65,5.00,stainless_s,861.56,6.00,0.63,79.37,67.62,64.93,60.12,2947.56,3059.84,TRUE,48.05
41.00,0.30,30.63,51.00,stainless_s,863.20,6.10,0.64,79.12,72.09,58.16,58.92,2974.67,2959.03,FALSE,
42.00,0.50,27.46,20.00,stainless_s,876.34,5.40,0.69,80.13,74.50,58.92,58.53,2922.78,3016.41,TRUE,5.49
43.00,0.90,29.06,25.00,carbon_steel,881.09,8.90,0.71,82.62,76.01,61.66,56.84,3099.45,2809.00,TRUE,11.36
44.00,0.80,24.99,50.00,carbon_steel,871.19,7.40,0.49,78.73,74.50,63.68,58.23,3134.08,2968.12,TRUE,5.00
45.00,0.30,27.41,5.00,carbon_steel,882.41,9.20,0.41,78.34,75.50,60.76,58.30,3095.42,3038.66,FALSE,
46.00,0.70,64.01,17.00,stainless_s,836.80,6.80,0.10,72.97,80.18,60.76,62.93,3030.55,2840.16,TRUE,50.01
47.00,0.50,25.54,70.00,stainless_s,837.63,10.30,0.85,86.41,78.86,56.62,61.38,2950.41,2853.23,TRUE,28.12
48.00,0.90,85.37,4.00,carbon_steel,865.73,8.90,0.88,81.53,69.37,59.16,60.12,2865.92,2893.88,FALSE,
49.00,0.40,83.70,74.00,stainless_s,805.73,8.80,0.58,81.79,79.39,62.75,59.84,2974.67,3042.66,FALSE,
50.00,1.00,35.86,9.00,stainless_s,854.53,3.50,0.48,72.23,81.70,59.08,58.30,2982.36,2883.59,TRUE,4.66
51.00,0.40,82.89,-6.00,carbon_steel,839.25,7.30,0.14,82.62,77.48,61.32,62.02,2882.50,2802.82,TRUE,81.28
52.00,0.90,59.93,15.00,carbon_steel,859.96,9.00,0.12,82.62,80.87,60.30,53.34,2994.98,3034.76,FALSE,
53.00,0.90,11.32,-19.00,carbon_steel,886.80,4.20,0.18,81.01,79.21,60.61,56.76,3117.50,2820.36,TRUE,5.36
54.00,0.40,71.66,62.00,carbon_steel,873.17,9.80,0.33,76.47,73.34,59.08,56.76,2982.36,2953.01,FALSE,
55.00,1.00,55.12,13.00,stainless_s,867.49,9.80,0.67,82.77,79.58,57.37,57.62,3099.45,3019.94,TRUE,19.93
56.00,1.00,45.82,1.00,carbon_steel,879.83,10.80,0.31,80.63,73.21,58.34,60.86,2891.97,3079.64,TRUE,23.29
57.00,0.40,64.94,57.00,carbon_steel,831.62,4.70,0.36,86.70,82.38,60.76,53.07,2932.55,2903.76,FALSE,
58.00,0.60,69.62,7.00,stainless_s,882.41,11.80,0.19,85.87,67.62,60.30,60.02,3077.22,2763.43,TRUE,1.63
59.00,0.60,29.35,5.00,carbon_steel,878.62,8.70,0.71,82.06,70.03,60.45,57.16,2871.84,2789.11,TRUE,13.06
60.00,0.30,38.43,2.00,carbon_steel,888.45,9.20,0.52,85.18,77.77,60.00,55.78,3091.54,2869.06,TRUE,43.81
61.00,1.00,28.69,10.00,carbon_steel,860.75,12.00,0.43,85.18,77.62,59.08,62.02,3073.88,2913.34,TRUE,13.35
62.00,0.90,64.81,40.00,carbon_steel,809.78,4.90,0.16,72.62,71.94,63.38,54.16,2871.84,3097.18,TRUE,35.77
63.00,0.60,32.31,5.00,carbon_steel,852.26,5.90,0.99,87.38,72.80,64.93,59.57,3134.08,2840.16,TRUE,16.42
64.00,0.80,68.26,17.00,stainless_s,902.52,5.00,0.83,84.77,73.99,57.68,56.60,3017.64,2869.06,TRUE,5.41
65.00,0.30,46.81,30.00,stainless_s,844.71,7.80,0.20,86.70,80.87,57.25,57.39,2929.37,2931.88,FALSE,
66.00,1.00,64.27,38.00,stainless_s,847.74,7.80,0.75,83.22,71.78,61.24,58.15,2904.58,2983.52,TRUE,42.82
67.00,1.00,36.31,47.00,carbon_steel,875.25,5.50,0.27,71.78,79.39,64.66,61.52,2938.72,2906.98,FALSE,
68.00,1.00,41.60,51.00,carbon_steel,873.17,5.00,0.43,82.48,78.86,63.11,58.61,2972.07,3046.77,TRUE,52.94
69.00,0.60,48.91,-14.00,carbon_steel,857.60,11.70,0.62,75.23,73.21,62.75,59.49,2979.81,2934.92,FALSE,
70.00,0.70,28.24,52.00,carbon_steel,919.79,6.70,0.30,77.94,72.80,55.78,57.70,3017.64,3030.94,FALSE,
71.00,0.40,72.67,65.00,stainless_s,850.75,6.00,0.92,75.03,72.52,59.08,62.43,3058.28,2876.46,TRUE,32.29
72.00,0.60,55.19,47.00,carbon_steel,830.70,6.80,0.40,77.52,75.13,60.08,57.70,3005.02,2890.50,TRUE,5.97
73.00,0.60,83.52,12.00,carbon_steel,858.38,11.40,0.26,76.63,75.63,60.76,61.68,2871.84,2913.34,FALSE,
74.00,0.40,21.24,15.00,stainless_s,883.79,4.50,0.91,72.97,73.07,62.42,58.61,2947.56,3097.18,TRUE,13.16
75.00,0.40,18.20,54.00,stainless_s,827.83,11.90,0.30,80.88,75.38,58.34,60.98,2835.51,3050.99,TRUE,8.61
76.00,0.70,70.08,8.00,carbon_steel,892.15,6.80,0.65,84.21,79.21,61.75,61.68,2882.50,2977.31,TRUE,10.65
77.00,1.00,23.00,44.00,stainless_s,838.44,11.80,0.18,77.23,75.38,61.84,56.51,2992.47,2983.52,FALSE,
78.00,1.00,24.52,-6.00,carbon_steel,906.42,4.50,0.16,76.31,73.60,57.68,58.38,2994.98,2910.18,TRUE,18.76
79.00,0.70,63.02,64.00,stainless_s,844.71,10.40,0.14,83.53,74.37,59.92,54.48,2958.75,2752.62,TRUE,34.78
80.00,0.30,14.29,75.00,carbon_steel,836.80,5.10,0.50,84.77,76.40,61.66,58.00,2935.67,2919.60,FALSE,
81.00,0.30,47.19,64.00,stainless_s,877.46,6.80,0.60,84.39,76.01,57.98,56.51,2979.81,2931.88,FALSE,
82.00,0.90,64.84,45.00,carbon_steel,856.83,8.10,0.55,76.94,77.20,56.48,55.98,2929.37,3030.94,TRUE,54.80
83.00,0.30,79.02,41.00,stainless_s,809.78,5.70,0.31,71.78,72.94,58.25,56.07,2956.01,3016.41,FALSE,
84.00,0.50,51.52,47.00,stainless_s,906.42,4.80,0.42,77.80,79.21,56.48,62.22,3007.53,2993.02,FALSE,
85.00,0.60,18.40,14.00,carbon_steel,807.85,5.30,0.30,75.61,66.78,58.43,58.61,3077.22,2814.83,TRUE,24.36
86.00,0.90,57.53,0.00,stainless_s,882.41,10.40,0.76,75.97,78.06,57.78,56.92,2979.81,2763.43,TRUE,33.03
87.00,0.90,91.68,46.00,stainless_s,838.44,10.20,0.25,77.23,73.86,58.43,55.02,2932.55,2820.36,TRUE,26.61
88.00,0.30,23.25,5.00,carbon_steel,858.38,7.80,0.27,74.13,69.37,60.45,54.48,2997.49,3009.50,FALSE,
89.00,0.40,54.19,70.00,carbon_steel,828.81,11.80,0.19,82.91,79.58,61.40,61.11,3007.53,3002.79,FALSE,
90.00,0.90,84.59,34.00,stainless_s,863.20,7.00,0.81,81.27,82.77,63.84,58.15,2953.23,2940.97,FALSE,
91.00,0.70,89.95,50.00,stainless_s,896.64,7.90,0.74,80.63,70.79,61.84,54.16,2896.36,2872.80,FALSE,
92.00,0.60,64.32,69.00,stainless_s,858.38,4.20,0.11,78.34,71.94,62.02,55.78,2915.84,3064.50,TRUE,23.48
93.00,0.50,17.55,-19.00,stainless_s,838.44,10.40,0.14,80.75,83.22,62.63,59.00,3015.10,3136.57,TRUE,2.67
94.00,0.60,46.89,7.00,stainless_s,851.50,11.00,0.36,87.38,81.70,62.02,62.93,3058.28,2910.18,TRUE,5.08
95.00,0.80,16.83,61.00,carbon_steel,839.25,3.80,0.96,76.78,73.86,57.78,58.76,3080.64,2971.16,TRUE,12.45
96.00,1.00,33.04,8.00,stainless_s,#NUM!,11.60,0.58,86.70,75.50,57.98,60.22,2891.97,2844.65,FALSE,
97.00,0.50,69.38,1.00,carbon_steel,858.38,9.50,0.99,82.77,79.77,62.32,57.55,3117.50,2986.66,TRUE,58.64
98.00,0.80,77.90,39.00,carbon_steel,818.91,5.80,0.89,79.25,77.48,58.76,57.85,3091.54,3030.94,FALSE,
99.00,0.90,33.56,-10.00,stainless_s,832.51,3.50,0.61,74.13,68.87,56.89,59.57,3046.77,3118.61,TRUE,32.91
100.00,0.80,65.83,57.00,stainless_s,816.21,11.40,0.12,87.77,76.14,59.92,60.12,3002.51,2906.98,TRUE,42.31
101.00,0.90,25.42,0.00,carbon_steel,867.49,5.50,0.73,72.97,72.94,57.37,59.66,2882.50,2953.01,TRUE,1.66
102.00,0.50,65.81,-12.00,stainless_s,859.96,7.10,0.41,71.78,67.62,59.47,58.68,3027.93,2890.50,TRUE,39.19
103.00,0.40,39.08,15.00,stainless_s,814.75,10.70,0.34,82.91,71.14,64.43,58.45,2966.81,2820.36,TRUE,13.33
104.00,0.60,27.81,-3.00,stainless_s,842.40,7.30,0.76,71.78,77.48,62.98,58.92,3015.10,2928.84,TRUE,30.62
105.00,0.40,16.12,37.00,stainless_s,826.83,6.00,0.72,77.23,80.40,60.45,55.68,3002.51,2983.52,FALSE,
106.00,1.00,18.79,69.00,carbon_steel,844.71,9.50,0.28,83.86,74.50,62.42,58.23,3041.25,2820.36,TRUE,20.97
107.00,0.40,99.15,0.00,carbon_steel,870.23,9.30,0.74,81.93,72.23,59.08,62.22,3134.08,2772.91,TRUE,86.52
108.00,0.60,15.00,12.00,carbon_steel,841.62,4.60,0.29,79.37,71.63,61.40,53.98,3128.16,2880.06,TRUE,18.38
109.00,0.30,48.93,72.00,carbon_steel,840.84,10.70,0.31,81.27,75.63,58.51,59.84,2915.84,2968.12,FALSE,
110.00,0.30,83.21,67.00,carbon_steel,876.34,8.80,0.91,79.25,70.79,57.48,59.32,3043.99,2980.40,FALSE,
111.00,0.30,19.50,61.00,carbon_steel,793.58,3.00,0.33,77.52,81.70,62.52,60.52,3055.34,2844.65,TRUE,4.68
112.00,0.40,94.11,44.00,carbon_steel,857.60,10.20,0.73,80.38,72.38,60.84,54.48,3117.50,2893.88,TRUE,16.39
113.00,1.00,33.81,15.00,carbon_steel,780.21,6.00,0.21,76.14,74.12,56.48,56.07,3033.19,2931.88,TRUE,18.66
114.00,0.50,51.48,37.00,carbon_steel,844.71,9.60,0.92,76.47,71.63,60.23,53.78,3108.03,3023.54,TRUE,3.03
115.00,0.70,96.38,58.00,stainless_s,877.46,7.20,0.85,87.03,72.38,59.77,61.52,3099.45,3019.94,TRUE,133.07
116.00,0.90,61.91,-15.00,carbon_steel,853.77,11.40,0.97,78.07,71.47,56.76,57.16,2979.81,2820.36,TRUE,54.02
117.00,0.30,68.75,60.00,carbon_steel,869.30,12.00,0.23,74.37,69.13,61.49,62.02,2941.72,2950.00,FALSE,
118.00,1.00,24.40,70.00,stainless_s,859.96,4.90,0.26,79.62,78.69,59.77,61.84,3058.28,3012.93,FALSE,
119.00,0.90,34.00,73.00,carbon_steel,885.25,6.60,0.30,75.03,82.38,55.98,57.70,2922.78,3016.41,TRUE,20.25
120.00,0.60,38.83,1.00,carbon_steel,881.09,8.30,0.73,79.37,81.41,60.68,59.24,2994.98,3006.12,FALSE,
121.00,0.40,18.74,0.00,stainless_s,838.44,6.70,0.56,75.79,75.25,58.68,57.24,2915.84,3042.66,TRUE,15.32
122.00,0.60,87.23,21.00,carbon_steel,894.27,6.50,0.29,80.00,71.14,60.38,57.85,2896.36,2802.82,TRUE,15.19
123.00,0.80,60.80,54.00,carbon_steel,859.96,6.80,0.73,82.91,72.80,63.68,59.00,3112.64,3030.94,TRUE,6.05
124.00,0.30,35.10,-17.00,stainless_s,919.79,5.50,0.21,82.48,76.93,56.89,54.48,2987.43,2835.50,TRUE,28.70
125.00,1.00,72.56,29.00,stainless_s,811.55,11.00,0.93,83.69,76.79,61.16,62.93,2935.67,2999.50,FALSE,
126.00,0.80,33.28,51.00,stainless_s,809.78,11.30,0.24,86.41,70.61,61.49,61.11,2900.55,3030.94,TRUE,17.71
127.00,0.40,86.48,37.00,carbon_steel,851.50,11.00,0.27,76.31,80.87,58.25,54.76,2896.36,2962.05,FALSE,
128.00,1.00,83.97,3.00,carbon_steel,856.06,4.40,0.43,82.34,75.13,59.55,59.40,2891.97,2876.46,FALSE,
129.00,0.40,39.23,48.00,stainless_s,866.60,9.50,0.34,80.13,81.70,60.00,55.48,3077.22,2968.12,TRUE,13.32
130.00,1.00,26.93,48.00,stainless_s,857.60,8.10,0.16,77.80,71.47,63.68,56.92,3010.04,2809.00,TRUE,13.11
131.00,0.80,60.88,43.00,carbon_steel,835.12,9.80,0.95,82.06,78.53,57.37,57.32,2950.41,2796.21,TRUE,16.21
132.00,0.70,84.02,55.00,stainless_s,827.83,3.60,0.34,78.73,75.88,58.92,53.07,3058.28,3127.09,FALSE,
133.00,0.80,23.14,48.00,stainless_s,816.21,7.40,0.65,79.12,75.88,64.66,60.02,3070.63,2996.24,TRUE,17.70
134.00,0.60,40.78,45.00,carbon_steel,879.83,10.10,0.14,82.20,79.03,60.53,57.92,3061.28,2989.82,TRUE,51.90
135.00,0.70,62.99,13.00,stainless_s,896.64,3.90,0.52,73.87,77.77,56.16,54.89,2871.84,2971.16,TRUE,70.29
136.00,0.60,94.22,42.00,carbon_steel,797.48,10.40,0.76,81.01,77.20,60.84,55.37,3077.22,2802.82,TRUE,85.02
137.00,0.50,20.21,-15.00,stainless_s,835.97,3.10,0.56,87.03,74.87,56.48,59.16,3058.28,2872.80,TRUE,12.99
138.00,0.60,68.00,1.00,stainless_s,828.81,6.20,0.74,73.59,72.52,57.98,58.08,3030.55,2857.34,TRUE,75.88
139.00,0.80,70.59,-18.00,carbon_steel,826.83,10.90,0.71,87.03,75.25,57.14,61.52,2958.75,2934.92,FALSE,
140.00,0.70,34.94,68.00,stainless_s,877.46,10.70,0.58,77.23,76.14,58.92,59.57,3033.19,2983.52,FALSE,
141.00,0.80,17.36,-1.00,stainless_s,902.52,3.90,0.31,86.13,82.77,63.24,62.43,3007.53,2869.06,TRUE,10.34
142.00,0.70,19.16,61.00,stainless_s,864.88,10.00,0.31,74.82,67.62,63.84,57.00,3103.64,2906.98,TRUE,17.86
143.00,0.40,95.31,30.00,carbon_steel,890.22,6.00,0.25,77.23,79.39,57.48,57.24,2956.01,2781.39,TRUE,30.57
144.00,0.40,19.84,50.00,stainless_s,830.70,7.90,0.30,83.37,73.47,58.25,60.42,2994.98,2880.06,TRUE,2.37
145.00,1.00,24.74,-8.00,carbon_steel,876.34,9.30,0.90,76.14,79.77,59.39,57.62,3020.19,2959.03,FALSE,
146.00,1.00,99.48,-7.00,carbon_steel,854.53,4.10,0.92,75.97,75.38,59.08,55.48,3007.53,2925.77,TRUE,47.08
147.00,0.40,96.52,64.00,carbon_steel,853.01,8.70,0.97,85.40,76.14,62.98,56.51,3064.33,3038.66,FALSE,
148.00,1.00,53.06,46.00,stainless_s,882.41,3.10,0.69,80.13,77.91,61.32,59.40,2941.72,2809.00,TRUE,1.24
149.00,0.50,82.87,50.00,carbon_steel,911.61,8.40,0.76,80.38,68.59,60.08,58.68,2908.46,2950.00,FALSE,
150.00,0.80,59.70,6.00,carbon_steel,821.38,7.40,0.68,84.77,73.60,60.15,58.53,3017.64,2781.39,TRUE,90.50
151.00,0.40,11.58,-20.00,carbon_steel,877.46,5.60,0.85,71.78,73.34,59.55,58.00,2972.07,3050.99,TRUE,9.47
152.00,1.00,19.68,21.00,carbon_steel,874.19,4.00,0.87,75.97,67.23,64.66,60.12,2944.66,2946.99,FALSE,
153.00,0.70,13.83,60.00,stainless_s,902.52,8.60,0.12,84.58,69.13,63.24,54.48,2956.01,3079.64,TRUE,10.94
154.00,0.70,17.66,19.00,stainless_s,828.81,7.90,0.10,82.06,83.22,55.78,57.08,2994.98,3009.50,FALSE,
155.00,0.80,43.78,80.00,carbon_steel,844.71,4.20,0.78,75.61,73.34,60.53,55.25,3017.64,2789.11,TRUE,24.66
156.00,0.80,15.94,28.00,carbon_steel,871.19,3.50,0.46,71.78,73.86,57.14,54.76,3027.93,2865.24,TRUE,6.23
157.00,0.70,82.32,43.00,carbon_steel,878.62,10.60,0.88,74.60,80.87,61.08,57.85,3064.33,3034.76,FALSE,
158.00,0.40,52.35,9.00,stainless_s,890.22,8.00,0.84,82.91,74.37,63.24,57.24,3020.19,2974.23,FALSE,
159.00,0.30,92.90,-14.00,carbon_steel,827.83,6.50,0.26,72.62,75.00,55.34,57.77,3067.45,2830.67,TRUE,76.66
160.00,0.60,35.27,37.00,stainless_s,837.63,7.60,0.18,87.77,72.09,62.02,54.76,3017.64,2913.34,TRUE,9.39
161.00,0.50,29.80,52.00,stainless_s,882.41,5.40,0.67,80.50,74.75,60.45,59.24,2944.66,3012.93,FALSE,
162.00,0.30,16.84,40.00,stainless_s,814.75,3.60,0.93,81.93,73.07,61.32,56.07,3117.50,3034.76,TRUE,11.22
163.00,0.70,89.68,17.00,carbon_steel,877.46,5.00,0.45,77.09,72.09,63.68,60.86,2984.90,2977.31,FALSE,
164.00,1.00,64.55,35.00,stainless_s,883.79,11.90,0.19,82.06,70.79,64.22,55.25,3015.10,3023.54,FALSE,
165.00,0.90,56.23,55.00,stainless_s,906.42,8.80,0.47,77.52,74.37,64.93,61.11,2887.36,2999.50,TRUE,15.76
166.00,0.60,30.79,-8.00,stainless_s,816.21,5.20,0.11,75.42,78.22,57.88,60.42,2966.81,2965.08,FALSE,
167.00,0.60,53.08,8.00,carbon_steel,844.71,4.90,0.73,81.53,83.22,63.68,58.38,2961.47,2937.95,FALSE,
168.00,0.60,65.94,55.00,stainless_s,860.75,7.20,0.39,82.91,70.03,62.63,60.22,2932.55,2872.80,FALSE,
169.00,0.90,95.31,15.00,carbon_steel,837.63,10.10,0.47,81.66,72.80,60.00,56.07,2887.36,2802.82,TRUE,6.24
170.00,0.70,13.47,20.00,carbon_steel,869.30,5.60,0.27,74.82,75.13,59.77,55.98,2896.36,2959.03,FALSE,
171.00,0.50,79.66,38.00,carbon_steel,888.45,8.10,0.77,81.14,80.63,61.16,57.32,2852.42,3006.12,TRUE,5.22
172.00,0.70,76.67,52.00,stainless_s,878.62,9.30,0.10,80.75,77.91,61.24,56.76,2935.67,2880.06,FALSE,
173.00,0.50,73.97,17.00,stainless_s,831.62,10.20,0.80,82.20,77.06,61.40,57.77,3041.25,2835.50,TRUE,35.01
174.00,0.40,26.02,57.00,carbon_steel,873.17,6.90,0.69,77.23,70.79,61.24,58.84,3140.51,2835.50,TRUE,24.04
175.00,0.30,58.01,35.00,stainless_s,828.81,5.90,0.67,86.41,75.13,56.16,59.40,2912.21,2869.06,FALSE,
176.00,0.90,41.96,40.00,carbon_steel,800.65,8.70,0.41,73.30,69.82,58.51,58.00,2984.90,2940.97,FALSE,
177.00,0.70,39.43,2.00,carbon_steel,865.73,5.50,0.67,83.69,75.50,56.76,59.49,2887.36,2802.82,TRUE,24.43
178.00,1.00,25.95,60.00,stainless_s,822.54,6.60,0.63,74.82,79.58,58.51,56.43,3134.08,3042.66,TRUE,2.06
179.00,0.80,92.09,53.00,stainless_s,859.96,9.90,0.89,87.38,76.66,58.51,61.38,2953.23,3002.79,FALSE,
180.00,0.30,18.28,20.00,stainless_s,875.25,11.80,0.40,76.31,80.40,61.49,54.76,2944.66,3027.20,TRUE,2.38
181.00,0.70,98.61,68.00,carbon_steel,829.77,9.60,0.48,87.38,77.62,61.75,56.76,2929.37,3050.99,TRUE,130.57
182.00,0.30,50.57,68.00,carbon_steel,850.00,7.50,0.74,87.03,72.52,60.76,57.32,2974.67,2943.98,FALSE,
183.00,0.40,29.75,6.00,stainless_s,881.09,6.90,0.65,80.00,70.79,55.34,55.58,3035.85,2840.16,TRUE,6.55
184.00,0.80,16.07,51.00,stainless_s,816.21,8.80,0.16,75.03,75.38,58.60,56.84,3112.64,2983.52,TRUE,13.26
185.00,0.40,60.63,-20.00,stainless_s,881.09,4.10,0.22,80.38,74.37,64.22,58.15,2941.72,2781.39,TRUE,32.27
186.00,0.70,17.17,-18.00,carbon_steel,803.36,10.60,0.55,81.93,80.63,55.34,53.78,3043.99,2897.21,TRUE,8.73
187.00,0.70,43.45,51.00,stainless_s,861.56,3.40,0.10,83.69,78.06,64.22,58.15,2941.72,2900.50,FALSE,
188.00,0.50,70.37,-20.00,carbon_steel,811.55,4.60,0.85,84.58,78.06,63.52,60.63,3030.55,2781.39,TRUE,22.57
189.00,1.00,55.64,1.00,carbon_steel,885.25,5.20,0.25,84.77,73.60,55.98,55.78,3112.64,2835.50,TRUE,35.01
190.00,0.90,72.79,44.00,stainless_s,857.60,9.10,0.20,76.63,72.94,55.98,57.85,3012.57,2980.40,FALSE,
191.00,0.30,65.39,-19.00,carbon_steel,859.96,4.90,0.97,79.37,81.13,64.93,58.23,3080.64,3019.94,FALSE,
192.00,0.80,92.15,-20.00,carbon_steel,807.85,10.00,0.41,76.94,81.13,56.48,58.15,2992.47,3085.17,TRUE,33.64
193.00,0.40,24.78,29.00,stainless_s,780.21,8.10,0.59,80.88,77.20,56.76,55.58,2982.36,3006.12,FALSE,
194.00,1.00,35.69,-6.00,carbon_steel,843.17,7.30,0.12,79.12,75.13,55.98,55.68,2929.37,2830.67,TRUE,5.42
195.00,0.90,89.69,35.00,stainless_s,818.91,11.60,0.72,81.66,73.47,58.68,57.85,3080.64,2825.63,TRUE,87.95
196.00,0.50,77.62,-20.00,carbon_steel,906.42,6.50,0.24,74.60,70.42,62.02,57.47,2912.21,3110.89,TRUE,107.16
197.00,0.50,68.35,-17.00,stainless_s,874.19,8.90,0.56,76.63,73.21,56.16,58.76,3095.42,2890.50,TRUE,53.40
198.00,0.70,30.09,25.00,carbon_steel,780.21,9.00,0.32,81.01,71.14,59.08,53.57,3000.00,2959.03,FALSE,
199.00,0.80,84.39,22.00,carbon_steel,862.37,3.80,0.42,79.50,72.23,61.57,55.02,3064.33,2922.69,TRUE,25.36
200.00,0.30,70.08,-19.00,stainless_s,856.06,11.40,0.92,79.75,68.87,57.02,59.75,2835.51,3085.17,TRUE,19.65
